total: 221
@deepseek-ai/dsh	dsh CLI: profile boot, plugin management, and the browser UI alias
@deepseek-ai/dsh-acp	Automation-only Agent Client Protocol server for driving DeepSeek Harness agents over JSON-RPC stdio
@deepseek-ai/dsh-acp-demo	ACP automation server app: agent spine + JSONL persistence + ACP transport, with a JSON-RPC stdio bin
@deepseek-ai/dsh-acp-snapshot	ACP test kit: shared subprocess launcher, snapshot scenario harness, expected-output normalizers, and suite fa
@deepseek-ai/dsh-agent	Agent interface, registry, initiator scope, and event vocabulary for the DeepSeek Harness
@deepseek-ai/dsh-agent-default-model	Default model selection shared by Agent entry points
@deepseek-ai/dsh-agent-instructions	Workspace context loader for AGENTS.md/CLAUDE.md instruction files
@deepseek-ai/dsh-agent-loop	The concrete agent loop plugin for the DeepSeek Harness
@deepseek-ai/dsh-agent-loop-testkit	Shared prerequisite mounting for tests that exercise the concrete agent loop
@deepseek-ai/dsh-agent-presets	Per-session agent composition from preset cordis.yml files for the DeepSeek Harness
@deepseek-ai/dsh-agent-spine-demo	The default executor-less/UI-less agent spine with fallback session titles, provider-routed retry, and optiona
@deepseek-ai/dsh-agent-tool-presentation	Agent-plane presentation selector: composes one agent's tools as Code Mode, native, or both
@deepseek-ai/dsh-anonymous-user-id	Shared anonymous user identity for DeepSeek Harness telemetry and feedback correlation
@deepseek-ai/dsh-api-gateway	Typert Remote Host dispatcher and Client API endpoint
@deepseek-ai/dsh-api-remotes	Remote BFF assembly and Host Agent/Session lookup policy
@deepseek-ai/dsh-app-boot	Shared boot glue for the app bins: .env loading, fail-loud Loader guards, snapshot-aware config resolution, an
@deepseek-ai/dsh-atomic-write	Zero-dependency atomic file replacement: exclusive-create random-suffix temp + rename carrying the caller-stat
@deepseek-ai/dsh-attachment	Durable immutable attachment storage seam for the DeepSeek Harness
@deepseek-ai/dsh-attachment-local	Private content-addressed DSH_HOME attachment storage
@deepseek-ai/dsh-base	The shared dsh core as a profile bundle: every profile's first patch layer, inserting the base plugin rows ove
@deepseek-ai/dsh-bash-local	Local-subprocess implementation of the DeepSeek Harness bash executor seam
@deepseek-ai/dsh-bash-sandbox	Sandbox-consuming implementation of the DeepSeek Harness bash executor seam (confines every command via ctx.sa
@deepseek-ai/dsh-brand	Type-only Branded<B> nominal-typing primitive for the DeepSeek Harness
@deepseek-ai/dsh-client-connection	Wire consumer layer: HTTP-up/WebSocket-down client, ConnectionController dual streams with reconnect, and fixt
@deepseek-ai/dsh-client-hmr	Dev-only hot-reload driver for script-loaded client entries: SSE rebuilt frames → invalidate/prefetch → fiber 
@deepseek-ai/dsh-client-locale	Locale plugin: Host-backed zh/en preference, browser-derived fallback, locale snapshots, and typed namespace d
@deepseek-ai/dsh-client-modules	Client module system, dual-face: node half composes the __DSH_BOOT__ entry graph (incremental dsh.client scan,
@deepseek-ai/dsh-client-runtime	Client core services: SlotRegistry, SessionRuntime (scope tree + object layer)
@deepseek-ai/dsh-client-schema-form	Schema/draft model layer for settings editors: rehydrates a serialized schemastery schema, validates drafts, a
@deepseek-ai/dsh-client-test-runtime	jsdom slot test runtime: real Cordis Context + SlotRegistry + web-react renderer with test-owned session/works
@deepseek-ai/dsh-client-ui-agent-preset	Agent-preset surfaces: the default for later sessions, this session's seat, and the composition editor
@deepseek-ai/dsh-client-ui-attachment	Pure React attachment atoms for the dsh web UI: draft-image rail, message image gallery, and original-image li
@deepseek-ai/dsh-client-ui-commands	Client command surface: global directory cache, '/' source, three command UI kinds, popupSelect registry
@deepseek-ai/dsh-client-ui-conversation	Conversation domain: skeleton, ordered chat flow, composer with the Host-backed busy-Enter preference, and det
@deepseek-ai/dsh-client-ui-cordis	Cordis dynamic-plugin definition card: the keyed cordis_define tool row with its run/stop switch
@deepseek-ai/dsh-client-ui-deliverables	Produced-files turn tail and clickable final-response file references for Web
@deepseek-ai/dsh-client-ui-directory-picker-browse	In-app directory browsing surface: the workspace directory-flow owner rendering the host's listing and creatio
@deepseek-ai/dsh-client-ui-directory-picker-native	Native directory-picker surface: the renderless workspace directory-flow occupant driving the host's OS choose
@deepseek-ai/dsh-client-ui-goal	Session goal surface: GoalBar docked above the composer, read from the goal session projection
@deepseek-ai/dsh-client-ui-input-trigger	Input trigger pipeline: '/' and '@' detection, candidate menu, pick routing to registered sources
@deepseek-ai/dsh-client-ui-jobs	Session-header background-job list: live registry state mirrored from session/jobs frames
@deepseek-ai/dsh-client-ui-layout	Shell plugin: three-column AppFrame with drag handles, ctx.layout viewing-state service (navigation + panels)
@deepseek-ai/dsh-client-ui-message-feedback	Per-message feedback controls contributed to the assistant-message action strip, backed by the messageFeedback
@deepseek-ai/dsh-client-ui-model-selection	Model selection: the /model popupSelect over session.models / session.selectModel
@deepseek-ai/dsh-client-ui-permission-presets	Permission surfaces: a new-session default in General settings and a current-session /permission popup over th
@deepseek-ai/dsh-client-ui-plan	Plan-mode composer control: the conversation.input.plan seat over the plan projection and the /plan command ch
@deepseek-ai/dsh-client-ui-primitives	Pure React atoms for the dsh web UI: controls, icons, markdown, and JSON inspectors (zero cordis)
@deepseek-ai/dsh-client-ui-settings	Settings domain base plugin: the settings-namespace scope service and the canonical settings slot-type contrac
@deepseek-ai/dsh-client-ui-settings-general	Settings ownerless-copy and product onboarding plugin: the General section, shell trigger/header chrome conten
@deepseek-ai/dsh-client-ui-settings-models	Models settings and shared product-onboarding dialogs over existing settings and credential joins
@deepseek-ai/dsh-client-ui-settings-plugin-inventory	Read-only Cordis Loader inventory tab in Web Plugins settings
@deepseek-ai/dsh-client-ui-settings-plugins	Plugins settings section with feature-owned tabs and configurable host-plane plugin cards
@deepseek-ai/dsh-client-ui-sidebar	Sidebar plugin: session multi-level tree, search, grouping, state dots
@deepseek-ai/dsh-client-ui-skill	Web skill references and the dedicated skill tool row
@deepseek-ai/dsh-client-ui-slots	Slot registry pure core: SlotMap declaration merging, single register composition API, four-share props types,
@deepseek-ai/dsh-client-ui-subagent	Subagent conversation catalog, continuation routing UI, and '@' reference source
@deepseek-ai/dsh-client-ui-theme	Theme plugin: Host bootstrap for the pre-plugin palette; DOM-free ThemeRuntime for light/dark/system state; --
@deepseek-ai/dsh-client-ui-tool	Client Tool call-tree renderer and keyed per-tool presentation slot
@deepseek-ai/dsh-client-ui-trajectory	Trajectory event ledger with an interactive timing overview: pure-consumer plugin registering into the convers
@deepseek-ai/dsh-client-ui-user-questions	Web ask_user_question feature: host tool mount plus composer-takeover question UI
@deepseek-ai/dsh-client-ui-workflow-run	Durable workflow-run Conversation Node and nested member disclosure for dsh web
@deepseek-ai/dsh-client-ui-workspace	Workspace picker plugin: one WorkspacePicker registered into the sidebar and empty-state workspace slots
@deepseek-ai/dsh-client-web	Web shell kernel: bootWebShell (module system holding + seed table + two-stage boot + AppRoot gate + app-shell
@deepseek-ai/dsh-client-web-react	Shell-side React glue: createSlotRenderer, SessionProvider, bindSnapshotSelector (uSES bridge), useInvoke
@deepseek-ai/dsh-cmdline	Immutable command-line handoff from a dsh launcher to any app plugin that injects cmdlineArgs
@deepseek-ai/dsh-code-runtime	Abstract code-execution seam (ctx.codeRuntime) for the DeepSeek Harness
@deepseek-ai/dsh-code-runtime-worker-thread	Worker-thread implementation of the DeepSeek Harness code-execution seam
@deepseek-ai/dsh-command-compact	Human-facing slash command for explicit session compaction
@deepseek-ai/dsh-command-feedback	Log-only session feedback producer and human-facing slash command
@deepseek-ai/dsh-command-goal	Human-facing slash command for persisted same-session goals
@deepseek-ai/dsh-commands	Plugin-owned human command registry for DeepSeek Harness UIs
@deepseek-ai/dsh-compaction	Abstract compaction service seam (ctx.compaction) for the DeepSeek Harness
@deepseek-ai/dsh-compaction-basic	Token-meter-driven compaction policy and LLM summarization backend for the DeepSeek Harness
@deepseek-ai/dsh-compaction-tool-result-pruner	Replay-safe model-free head/middle/tail pruning for tool-result surface nodes
@deepseek-ai/dsh-cordis-client-runner	Browser half of dynamic dual-half plugin packages: event subscription, closure evaluation, guard facade, and l
@deepseek-ai/dsh-cordis-host-runner	Dynamic package definition registry, host-half sandbox lifecycle, and invoke handler table for model-mounted d
@deepseek-ai/dsh-credentials	Abstract credential seam (ctx.credentials): settings carry references to secrets, providers own the values
@deepseek-ai/dsh-credentials-local	File-backed credentials provider ($DSH_HOME/.env under the live process environment) for the DeepSeek Harness
@deepseek-ai/dsh-e2b	Shared E2B sandbox lifecycle for DeepSeek Harness provider adapters
@deepseek-ai/dsh-fs	Abstract filesystem capability seam (ctx.fs) for the DeepSeek Harness — vocabulary types, the FileSystem servi
@deepseek-ai/dsh-fs-e2b	E2B filesystem implementation for DeepSeek Harness
@deepseek-ai/dsh-fs-local	Local-filesystem implementation of the DeepSeek Harness filesystem seam (ctx.fs)
@deepseek-ai/dsh-fs-observation-policy	File-context policy plugin for the DeepSeek Harness — observed-state, read-before-edit, and version-guarded wr
@deepseek-ai/dsh-fs-sandbox	Sandbox-enforcing implementation of the DeepSeek Harness filesystem seam: fences write/edit by the per-call sa
@deepseek-ai/dsh-goal	Event-sourced same-session goal state and lifecycle service for the DeepSeek Harness
@deepseek-ai/dsh-goal-round-driver	Race-fenced same-session goal-round driver
@deepseek-ai/dsh-headless	The dsh one-shot bundle: a direct core Agent/Session runner over dsh-base with no Host, HTTP, or browser layer
@deepseek-ai/dsh-home-paths	Shared filesystem path helpers for the DeepSeek Harness
@deepseek-ai/dsh-hook-protocol	Shared Claude Code / Codex hook wire protocol: matcher engine, stdin/exit-code/stdout codec, multi-hook merge,
@deepseek-ai/dsh-hooks-claude-code	Bridge plugin: run a Claude Code hooks.json / settings hook config on the DeepSeek Harness interception seams
@deepseek-ai/dsh-hooks-codex	Bridge plugin: run a Codex hooks.json hook config on the DeepSeek Harness interception seams
@deepseek-ai/dsh-host-apiproxy	API gateway: the ApiProxy contract (api/), the fetch carrier pair (fetch/), and the host-side gateway plugin p
@deepseek-ai/dsh-host-directory-picker	Abstract workspace-directory picking seam (ctx.directoryPicker) for the DeepSeek Harness web GUI host
@deepseek-ai/dsh-host-directory-picker-auto	Adaptive chooser of the directory-picker seam: resolves the host situation at boot and mounts the native or br
@deepseek-ai/dsh-host-directory-picker-browse	In-app browsing backend of the directory-picker seam (listing/creation primitives over the host filesystem)
@deepseek-ai/dsh-host-directory-picker-native	Native-OS-chooser backend of the directory-picker seam for the DeepSeek Harness web GUI host
@deepseek-ai/dsh-host-frontend-static	SPA dist server for the Web shell: owns the webserver fallback seat, serving the built frontend with index-tap
@deepseek-ai/dsh-host-plugin-inventory	Read-only Remote projection of current Cordis Loader plugin state
@deepseek-ai/dsh-host-webserver	Web route-registration plugin: HTTP and upgrade routes, index transform taps, and static dist fallback; knows 
@deepseek-ai/dsh-invariants	Registry service for package-owned DeepSeek Harness runtime invariants
@deepseek-ai/dsh-jobs	Background job registry (ctx.jobs) for the DeepSeek Harness — shared ids, owner isolation, polling, cancellati
@deepseek-ai/dsh-jobs-local	Process-local implementation of the DeepSeek Harness background job registry seam
@deepseek-ai/dsh-launch-environment	Immutable DeepSeek Harness launch environment that records which layer supplied each value
@deepseek-ai/dsh-llm	Provider-neutral LLM service interface for the DeepSeek Harness
@deepseek-ai/dsh-llm-deepseek	DeepSeek chat-completions adapter for the DeepSeek Harness LLM seam
@deepseek-ai/dsh-llm-mock-server	Scriptable OpenAI-compatible HTTP/SSE fault server for LLM recovery tests
@deepseek-ai/dsh-llm-pi-ai	pi-ai-backed DeepSeek adapter for the DeepSeek Harness LLM seam (design-verification twin of dsh-llm-deepseek)
@deepseek-ai/dsh-llm-replay	Replay LLM plugin: short-circuits llm/stream with model chunks reconstructed from a recorded session JSONL (ke
@deepseek-ai/dsh-llm-retry	Provider-routed LLM request retry policy for the DeepSeek Harness
@deepseek-ai/dsh-loader-smoke	Shared subprocess and direct-agent harness for keyless real-Loader example smoke tests
@deepseek-ai/dsh-lsp	Abstract LSP capability seam (ctx.lsp) for the DeepSeek Harness — language-server provider registry keyed by b
@deepseek-ai/dsh-lsp-stdio	Generic stdio language-server provider for the DeepSeek Harness LSP capability seam (ctx.lsp) — spawns configu
